h3_index,lsoa21cd,percentage_coverage
89194adb567ffff,E01002692,3.51
89194adb567ffff,E01002691,16.37
89195daf103ffff,E01002472,17.6
89194ad53d3ffff,E01000747,0.14
89194ad53d3ffff,E01001079,26.54
89195da75abffff,E01000282,0.0
89195da75abffff,E01000280,9.29
89194e6a9bbffff,E01000101,18.72
89194e6a9bbffff,E01000060,10.04
89194e6a9bbffff,E01000061,0.55
89194e6a9bbffff,E01000114,1.9
89194ad1627ffff,E01033132,7.65
89194ad1627ffff,E01033098,19.69
89195db4873ffff,E01001540,9.41
89195db4873ffff,E01001536,16.14
89194e60a7bffff,E01002385,0.02
89194e60a7bffff,E01002389,9.13
89194e60a7bffff,E01002388,3.36
89194e685d3ffff,E01003657,1.13
89194e685d3ffff,E01003703,8.99
89195dacd1bffff,E01001218,22.53
89195dacd1bffff,E01001217,17.38
89195da51c3ffff,E01000514,11.47
89195da51c3ffff,E01000515,0.62
89195da51c3ffff,E01000520,30.57
89194adab43ffff,E01003385,24.61
89194adab43ffff,E01003383,8.32
89194adab43ffff,E01003404,4.89
89194adab43ffff,E01003403,5.78
89194ac1553ffff,E01004094,1.28
89194ac1553ffff,E01004090,30.92
89194ac1553ffff,E01004091,1.61
89194ac1553ffff,E01004092,4.09
89194e6dd43ffff,E01000381,4.58
89194ad0c03ffff,E01003235,1.84
89194ad0c03ffff,E01003243,34.98
89195da6b87ffff,E01033486,4.72
89195da6b87ffff,E01002739,33.66
89195da6b87ffff,E01035654,14.32
89195da6b87ffff,E01033491,16.52
89195da6b87ffff,E01002795,5.99
89195da6b87ffff,E01002740,2.23
89194e60057ffff,E01002296,1.71
89194e60057ffff,E01002277,1.66
89194ad6373ffff,E01000680,1.14
89194ad25c7ffff,E01034225,15.28
89194ad25c7ffff,E01033581,0.84
89194ad25c7ffff,E01003515,2.16
